sentence,cause,effect,is_causal
The stir intensified when women activists on Tuesday voiced their support for those women set to march towards Shani Shingnapur temple in Maharashtra to break the centuries old tradition of not allowing the feminine gender to enter the sanctum sanctorum.,women activists on Tuesday voiced their support for those women set to march towards Shani Shingnapur temple in Maharashtra to break the centuries old tradition of not allowing the feminine gender to enter the sanctum sanctorum,The stir intensified,1
The stir intensified when women activists on Tuesday voiced their support for those women set to march towards Shani Shingnapur temple in Maharashtra to break the centuries old tradition of not allowing the feminine gender to enter the sanctum sanctorum., to break the centuries old tradition of not allowing the feminine gender to enter the sanctum sanctorum,those women set to march towards Shani Shingnapur temple in Maharashtra,1
"Following the Shani temple stir, Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah.",the Shani temple stir,Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah,1
"Following the Shani temple stir, Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah.", demanding entry into a restricted area of the Haji Ali dargah,Muslim women too on Thursday staged a protest,1
"Two labourers killed, workers stir at BALCO Raipur, june 3 Tension gripped BALCOs Korba plant and work was disrupted after two labourers were killed inside the plant.",two labourers were killed inside the plant,Tension gripped BALCOs Korba plant and work was disrupted,1
"Following the incident, the labourers went on a dharna and stopped work.",the incident,the labourers went on a dharna and stopped work,1
The escalating protests in the JNU follow the arrest of student union president Kanhaiya Kumar on charges that he too shouted the anti-Indian slogans at a meeting on Kashmir.,the arrest of student union president Kanhaiya Kumar,The escalating protests in the JNU,1
The escalating protests in the JNU follow the arrest of student union president Kanhaiya Kumar on charges that he too shouted the anti-Indian slogans at a meeting on Kashmir.,on charges that he too shouted the anti-Indian slogans at a meeting on Kashmir,the arrest of student union president Kanhaiya Kumar,1
"His arrest has sparked widespread protests by students, teachers as well as opposition parties.",His arrest,"widespread protests by students, teachers as well as opposition parties",1
( PICS AVAILABLE ON www.sapapics.co.za ) A crowd of supporters erupted as Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them.,Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them,A crowd of supporters erupted,1
"December 06, 2017 00:00 IST Urge Central government to drop privatisation move A day after alleged suicide by one of their colleagues, the employees, including officers, went on a mass casual leave on Tuesday to press for their demand to withdraw decision on privatisation of Dredging Corporation of India ( DCI ).", to press for their demand to withdraw decision on privatisation of Dredging Corporation of India ( DCI ),"the employees, including officers, went on a mass casual leave on Tuesday",1
"VISAKHAPATNAM DCI employees go on mass casual leave, threaten to intensify stir",threaten to intensify stir,DCI employees go on mass casual leave,1
"The employees also served an ultimatum to the government that unless they shelved the decision on privatisation, they would go ahead with their indefinite strike plan and intensify their ongoing agitation.",they shelved the decision on privatisation,they would go ahead with their indefinite strike plan and intensify their ongoing agitation,1
"As hundreds of employees from the city went to Vizianagaram to take part in the last rites of N. Venkatesh, 28, an assistant in the administration department of the corporation, who committed suicide on railway tracks to protest against the Centre ’ s decision on strategic stake sale of DCI, an all-union meeting convened by the CITU resolved to organise demonstrations in front of all industrial establishments located in the city on Wednesday."," to take part in the last rites of N. Venkatesh, 28, an assistant in the administration department of the corporation, who committed suicide on railway tracks to protest against the Centre ’ s decision on strategic stake sale of DCI",hundreds of employees from the city went to Vizianagaram,1
"As hundreds of employees from the city went to Vizianagaram to take part in the last rites of N. Venkatesh, 28, an assistant in the administration department of the corporation, who committed suicide on railway tracks to protest against the Centre ’ s decision on strategic stake sale of DCI, an all-union meeting convened by the CITU resolved to organise demonstrations in front of all industrial establishments located in the city on Wednesday.", to protest against the Centre ’ s decision on strategic stake sale of DCI,"N. Venkatesh, 28, an assistant in the administration department of the corporation, who committed suicide on railway tracks",1
